,,1A,1B,1C,1D,1E
Eigyo-kilo,,JRE/C/W,JRE IC,JRH,JRS,JRK
営業キロ,,JR本州,JR東IC,JR北,JR四,JR九
1-3,3,150,147,200,170,170
4-6,6,190,189,250,210,210
7-10,10,200,199,290,220,230
11-15,15,240,242,340,260,280
16-20,20,330,330,440,360,380
21-25,25,420,418,540,460,480
26-30,30,510,506,640,560,570
31-35,35,590,594,750,670,660
36-40,40,680,682,860,770,760
41-45,45,770,770,970,870,860
46-50,50,860,858,1130,970,950
51-60,60,990,990,1290,1110,1130
61-70,70,1170,1166,1490,1300,1310
71-80,80,1340,1342,1680,1470,1500
81-90,90,1520,1518,1890,1660,1680
91-100,100,1690,1694,2100,1830,1850
101-120,120,1980,1980,2420,2130,2170
121-140,140,2310,2310,2860,2460,2530
141-160,160,2640,2640,3190,2790,2860
161-180,180,3080,3080,3630,3230,3300
181-200,200,3410,3410,4070,3560,3740
201-220,220,3740,3740,4510,3890,4070
221-240,240,4070,4070,4840,4220,4400
241-260,260,4510,4510,5280,4660,4840
261-280,280,4840,4840,5610,5000,5280
281-300,300,5170,5170,5940,5330,5610
301-320,320,5500,5500,6270,5660,5940
321-340,340,5720,5720,6490,5880,6160
341-360,360,6050,6050,6820,6210,6490
361-380,380,6380,6380,7150,6540,6820
381-400,400,6600,6600,7370,6760,7040
401-420,420,6930,6930,7700,7090,7370
421-440,440,7150,7150,7920,7310,7590
441-460,460,7480,7480,8250,7640,7920
461-480,480,7700,7700,8470,7860,8140
481-500,500,8030,8030,8800,8190,8470
501-520,520,8360,8360,9130,8520,8800
521-540,540,8580,8580,9350,8740,9020
541-560,560,8910,8910,9680,9070,9350
561-580,580,9130,9130,9900,9290,9570
581-600,600,9460,9460,10230,9620,9900
601-640,640,9790,9790,10560,9950,10230
641-680,680,10010,10010,10780,10170,10450
681-720,720,10340,10340,11110,10500,10780
721-760,760,10670,10670,11440,10830,11110
761-800,800,11000,11000,11770,11160,11440
801-840,840,11330,11330,12100,11490,11770
841-880,880,11550,11550,12320,11710,11990
881-920,920,11880,11880,12650,12040,12320
921-960,960,12210,12210,12980,12370,12650
"961-1,000",1000,12540,12540,13310,12700,12980
"1,001-1,040",1040,12870,12870,,,
"1,041-1,080",1080,13200,13200,,,
"1,081-1,120",1120,13420,13420,,,
"1,121-1,160",1160,13750,13750,,,
"1,161-1,200",1200,14080,14080,,,
"1,201-1,240",1240,14410,14410,,,
"1,241-1,280",1280,14740,14740,,,
"1,281-1,320",1320,15070,15070,,,
"1,321-1,360",1360,15290,15290,,,
"1,361-1,400",1400,15620,15620,,,
"1,401-1,440",1440,15950,15950,,,
"1,441-1,480",1480,16280,16280,,,
"1,481-1,520",1520,16610,16610,,,
"1,521-1,560",1560,16830,16830,,,
"1,561-1,600",1600,17160,17160,,,
"1,601-1,640",1640,17490,17490,,,
"1,641-1,680",1680,17820,17820,,,
"1,681-1,720",1720,18150,18150,,,
"1,721-1,760",1760,18480,18480,,,
"1,761-1,800",1800,18700,18700,,,
"1,801-1,840",1840,19030,19030,,,
"1,841-1,880",1880,19360,19360,,,
"1,881-1,920",1920,19690,19690,,,
"1,921-1,960",1960,20020,20020,,,
"1,961-2,000",2000,20240,20240,,,
"2,001-2,040",2040,20570,20570,,,
"2,041-2,080",2080,20900,20900,,,
"2,081-2,120",2120,21230,21230,,,
"2,121-2,160",2160,21560,21560,,,
"2,161-2,200",2200,21890,21890,,,
"2,201-2,240",2240,22110,22110,,,
"2,241-2,280",2280,22440,22440,,,
"2,281-2,320",2320,22770,22770,,,
"2,321-2,360",2360,23100,23100,,,
"2,361-2,400",2400,23430,23430,,,
"2,401-2,440",2440,23650,23650,,,
"2,441-2,480",2480,23980,23980,,,
"2,481-2,520",2520,24310,24310,,,
"2,521-2,560",2560,24640,24640,,,
"2,561-2,600",2600,24970,24970,,,
"2,601-2,640",2640,25300,25300,,,
"2,641-2,680",2680,25520,25520,,,
"2,681-2,720",2720,25850,25850,,,
"2,721-2,760",2760,26180,26180,,,
"2,761-2,800",2800,26510,26510,,,
"2,801-2,840",2840,26840,26840,,,
"2,841-2,880",2880,27060,27060,,,
"2,881-2,920",2920,27390,27390,,,
"2,921-2,960",2960,27720,27720,,,
"2,961-3,000",3000,28050,28050,,,
