,,3A,3B,3C
Eigyo-kilo,,JRE,JRE IC,JRW
営業キロ,,JR東,JR東IC,JR西
1-3,3,140,136,130
4-6,6,160,157,160
7-10,10,170,168,170
11-15,15,220,220,220
16-20,20,310,308,310
21-25,25,400,396,400
26-30,30,480,473,470
31-35,35,570,561,560
36-40,40,650,649,650
41-45,45,730,726,730
46-50,50,820,814,810
51-60,60,940,935,940
61-70,70,1100,1100,1100
71-80,80,1270,1265,1270
81-90,90,1450,1441,1440
91-100,100,1610,1606,1610
101-120,120,1870,1870,1870
121-140,140,2200,2200,2200
141-160,160,2530,2530,2530
161-180,180,2860,2860,2860
181-200,200,3190,3190,3190
201-220,220,3520,3520,3520
221-240,240,3850,3850,3850
241-260,260,4180,4180,4180
261-280,280,4510,4510,4510
281-300,300,4840,4840,4840
301-320,320,5170,5170,5170
321-340,340,5500,5500,5500
341-360,360,5720,5720,5720
361-380,380,5940,5940,5940
381-400,400,6270,6270,6270
